country,ccode,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91.63024009,86.71195275,91.24332359,91.78228573,96.6447958,102.7548158,98.62340357,130.8581206,122.3994598,126.1635757,115.6269367,124.398326,122.552919, ,
China,710, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19287.33121,21018.23251,22328.15103,27125.6751,25022.51069,24101.26044,25014.67368,26561.06869,28492.83761,31211.23788,37971.30936,41264.44796,49797.82237,57834.84354,62508.81521,69162.15275,76557.96295,88317.41628,98804.53028,108186.8662,131063.4505,137889.9459,148655.7118,161440.5499,176476.492,191626.8628,204202.4478,215717.8747,227829.4179,239223.3258,257010
